Price,Close,High,Low,Open,Volume,daily_return
Ticker,SPY,SPY,SPY,SPY,SPY,
Date,,,,,,
2009-05-04,66.93584442138672,66.980040042525,65.09451942016734,65.21973379090151,287120000,
2009-05-05,66.70753479003906,66.9726860909155,66.16986531346208,66.70753479003906,243036300,-0.0034108725051761324
2009-05-06,67.8639144897461,67.9081045181048,66.73702381234845,67.5251111606729,291941000,0.01733506871969892
2009-05-07,66.92113494873047,68.60778979433105,66.49394608073811,68.50467601506111,317728000,-0.013892206898234227
2009-05-08,68.48258209228516,68.65934777107822,67.34832488307705,67.78287501412659,299081700,0.023332645878629155
2009-05-11,67.20101165771484,67.84179493351672,67.05370787028603,67.53981486422457,247923600,-0.018713815913706466
2009-05-12,67.00212860107422,67.63554479013176,66.17721305690506,67.4882354326315,282431300,-0.002959524741288466
2009-05-13,65.31549072265625,66.29507712272867,65.18291507738871,66.09621084518795,269619100,-0.025172899930688608
2009-05-14,65.87527465820312,66.3761155084755,65.18293434831119,65.34497192035234,260098700,0.008570462065788265
2009-05-15,65.33757781982422,66.28770222604423,64.92512280414228,65.82369033340206,271502700,-0.008162346816294463
2009-05-18,67.19366455078125,67.2746777174305,65.23449117361571,65.95629337027682,241447400,0.028407645230978718
2009-05-19,67.11262512207031,67.73867458682585,66.88429696864371,67.15681513015603,206102200,-0.0012060575837428145
2009-05-20,66.66336059570312,68.35001569672185,66.58970868782535,67.72396043155986,285722200,-0.006694187949734087
2009-05-21,65.70585632324219,66.14041204908492,65.00615490379016,65.88998886723265,258988400,-0.014363276377078682
2009-05-22,65.56592559814453,66.28772777304548,65.3155079904787,65.89000073209357,166811900,-0.002129653777119378
2009-05-26,67.24520874023438,67.43670254416762,65.05034629680164,65.07980817877892,236318500,0.025612132014763533
2009-05-27,66.04463958740234,67.5766232394408,65.94152584344567,67.34830075200499,246015800,-0.017853601398871155
2009-05-28,66.9653091430664,67.27465040779767,65.62482470995279,66.62650600274958,289095000,0.013940110225685531
2009-05-29,68.15111541748047,69.01285411089839,66.78853613297497,67.33356672292166,258641500,0.017707769733141587
2009-06-01,69.80094909667969,70.09556223517778,68.81400154488104,68.9907671802686,276246800,0.024208461873186593
2009-06-02,69.85987091064453,70.24286966585291,69.40322589695202,69.52843465107559,230874500,0.0008441405844386018
2009-06-03,68.97606658935547,69.32959800127105,68.3205550446182,69.26331296876705,235310500,-0.012651101551840904
2009-06-04,69.62417602539062,69.72728976996062,68.71824732391461,69.23381604676456,210102300,0.009396149535368936
2009-06-05,69.63890075683594,70.46381060661422,69.0865033598836,70.33123500657457,284257900,0.00021148877137067146
2009-06-08,69.35166931152344,70.04400370852619,68.52675366700322,69.11597431085072,238565100,-0.004124583274446758
2009-06-09,69.7052230834961,70.07348821205187,69.24857230114615,69.74205184406364,225125500,0.005097985030245056
2009-06-10,69.52845764160156,70.33127292744405,68.63725670165168,70.32391167072838,296100400,-0.0025358995219453284
2009-06-11,69.8377914428711,70.78791604938519,69.64629202267277,69.6610257730692,275414200,0.004449024352935593
2009-06-12,70.02928924560547,70.07347925721545,69.23383532095052,69.5284485100019,184361800,0.0027420369226742736
2009-06-15,68.42367553710938,69.24858599182274,68.05541033574633,69.2043959658291,224190500,-0.022927745316176362
2009-06-16,67.4956283569336,68.71090433380877,67.451438342266,68.66671431914118,227319000,-0.013563246535513218
2009-06-17,67.42935943603516,68.00385224101238,66.89905665627744,67.46618258395777,223445200,-0.0009818253790896403
2009-06-18,67.92279815673828,68.25423441223619,67.20836315073639,67.53243815204314,211725100,0.0073178616085061154
2009-06-19,68.17315673828125,68.66200954724859,67.7879944999237,68.57313030072012,215655600,0.0036859285591450686
2009-06-22,66.12886810302734,67.54359012335537,66.10664828507821,67.50655332609223,251913600,-0.029986709330506622
2009-06-23,66.18067932128906,66.57324428885848,65.81033415927735,66.2695641945386,188309800,0.0007834886600659452
2009-06-24,66.75105285644531,67.46211530292537,66.36589049937987,66.78068116475973,211577700,0.008618429744234657
2009-06-25,68.2027816772461,68.26944110885826,66.3436469650114,66.41771488380937,279411000,0.021748403338639033
2009-06-26,68.02503204345703,68.32130945744161,67.60283856511103,67.97318391983634,167579000,-0.002606193316721628
2009-06-29,68.6620101928711,68.75089509125559,67.84725173625091,68.22500549060965,168481300,0.009363878711694529
2009-06-30,68.10651397705078,68.92868118305947,67.60284402788349,68.67684903398687,228888200,-0.008090299341075635
2009-07-01,68.38797760009766,69.05460039844313,68.29909267664429,68.39538043878568,173041100,0.004132697544051656
2009-07-02,66.52143096923828,68.41019454334021,66.48439982428867,67.4991424820504,212309900,-0.02729349070349918
2009-07-06,66.51403045654297,66.61031821800469,65.66964346827291,65.8770359705116,174499600,-0.00011125005261436449
2009-07-07,65.22517395019531,66.52879021945496,65.18073434873767,66.44731384943763,197088900,-0.01937721255953262
2009-07-08,65.18075561523438,65.77331019941695,64.4400652105158,65.61776024152906,248050500,-0.0006809998696952757
2009-07-09,65.30668640136719,65.84739300557804,65.11411092131016,65.63259206149542,163777600,0.0019320240298561497
2009-07-10,65.15116882324219,65.54373408365018,64.69934693646466,64.9585876130527,173520300,-0.0023813423509073672
2009-07-13,66.7362060546875,66.78805415831312,64.8770715086498,65.410369517953,217413500,0.024328607760600418
2009-07-14,67.11398315429688,67.1732397651075,66.46217738844443,66.94362181097172,181487400,0.005660751815885323
2009-07-15,69.07677459716797,69.26194716047186,67.16579238762746,68.0027703393945,220877900,0.029245640783360782
2009-07-16,68.9656982421875,70.00266615261013,68.75089730244834,68.88422182880298,231174500,-0.0016080130496570755
2009-07-17,69.72119903564453,69.86193204766066,69.28419432615082,69.66935092348392,138561700,0.010954732754302476
2009-07-20,70.4619140625,70.58042730348332,69.76566855030131,70.12860546152358,164179400,0.010623957090536873
2009-07-21,70.78780364990234,71.0322329153141,69.93600829078387,71.01001310046232,217718300,0.00462504590938706
2009-07-22,70.77301025390625,71.20260663559412,70.28415159923117,70.33599973069467,196068100,-0.0002089822714270717
2009-07-23,72.33584594726562,72.6469346397469,70.75817136921492,70.81742797283634,258795500,0.022082368515236483
2009-07-24,72.63211822509766,72.69137482917738,71.61737572258116,71.99512385879261,154003100,0.004095787834540898
2009-07-27,72.846923828125,72.88396062079494,72.0988246941572,72.49879832070371,159259400,0.002957446488915938
2009-07-28,72.5062026977539,72.86173667375176,71.89142814083097,72.3358470235835,186685200,-0.004677220566993157
2009-07-29,72.3284683227539,72.65436847969688,71.83220677045868,72.17292391014003,194399300,-0.0024512989011560293
2009-07-30,73.08393096923828,73.9431346698455,73.03208285978923,73.2024441628476,225575400,0.010444886557160915
2009-07-31,73.1876449584961,73.67650352430188,72.86914773711332,73.0691373871326,207358000,0.0014191079746581625
2009-08-03,74.39495849609375,74.4616179311737,73.55797458217697,73.95794814571751,175776900,0.016496138634906288
2009-08-04,74.58755493164062,74.69125118270573,73.90612081006378,74.06166518666141,176714600,0.002588837193275406
2009-08-05,74.37271881103516,74.7060271994111,73.75794448036785,74.63936213112466,184726400,-0.002880321265422481
2009-08-06,73.98759460449219,74.82457307281665,73.63946906646558,74.7134739870819,193203800,-0.005178299418117094
2009-08-07,74.95787048339844,75.57264490661309,74.35791303359741,74.76529503717812,220640900,0.01311403464449623
2009-08-10,74.80232238769531,74.97268366722328,74.26902439215301,74.61714978652198,130898700,-0.0020751402714619394
2009-08-11,73.86907196044922,74.52087761822182,73.66908234488025,74.46902950511515,157301000,-0.012476222628612033
2009-08-12,74.66159057617188,75.22451118124755,73.70609933329429,73.74313046069666,219052400,0.010728693277031853
2009-08-13,75.23194122314453,75.26156952416714,74.26163838149148,75.00232895399502,176449500,0.007639144070882953
2009-08-14,74.65422821044922,75.25418596459038,73.84687228044778,75.194929342916,199616100,-0.007679092195451487
2009-08-17,72.81729888916016,73.29134047193136,72.66916301367718,73.21727253418989,237667500,-0.02460583098000535
2009-08-18,73.39501953125,73.65426572918092,72.84691013906426,72.9802346561927,173461500,0.007933837850388148
2009-08-19,74.0394287109375,74.29126644330854,72.74322021322986,72.81728814003762,192812800,0.008780012374179247
2009-08-20,74.80232238769531,74.97268366722328,73.97275275109114,74.13569989326744,174131300,0.010303883890518284
2009-08-21,76.26889038085938,76.38739790475798,75.26895948432202,75.41709530195007,224605000,0.019605915249033767
2009-08-24,76.26150512695312,76.99478725433144,75.9874475647313,76.5800023177976,191279000,-9.683179956299082e-05
2009-08-25,76.40960693359375,77.22436505739573,76.24665417862975,76.56515120396357,215310600,0.0019420257493485416
2009-08-26,76.41703796386719,76.7651634050126,75.91336819495854,76.17260874123062,194620700,9.725256511128322e-05
2009-08-27,76.5874252319336,76.82444604760019,75.50601740726586,76.37262423476355,196230100,0.00222970259782862
2009-08-28,76.57259368896484,77.29106448915869,76.04670403081762,77.20218523207635,147024400,-0.0001936550670535997
2009-08-31,75.89116668701172,75.98005160332183,75.39490528574525,75.82450723804523,176051600,-0.008899097825013746
2009-09-01,74.21720886230469,76.4689093589208,74.0616644871761,75.51341763939799,321276800,-0.022057347353885315
2009-09-02,73.93576049804688,74.39499085989387,73.75058778535382,73.90613218589326,171805000,-0.003792225126385218
2009-09-03,74.55050659179688,74.6393858430562,73.76537074920932,74.36533395031255,143572300,0.008314597558866543
2009-09-04,75.59489440917969,75.61711422700841,74.47645547097405,74.69865930028307,142687900,0.014009131059315116
2009-09-08,76.24673461914062,76.32821108258051,75.83935230194119,76.29117427155366,132909100,0.008622807334482951
2009-09-09,76.8318099975586,77.09105048143842,76.14296776838151,76.37998844664573,154612500,0.0076734483298264156
2009-09-10,77.61697387695312,77.66882199640249,76.45408978271377,76.88369171587765,162902400,0.0102192552722562
2009-09-11,77.60216522216797,77.99473605555455,77.23922834709774,77.76511808677715,152360100,-0.00019079144735312248
2009-09-14,77.97990417480469,78.11322870664162,76.40223525725153,76.94293622174193,149593800,0.00486763418978442
2009-09-15,78.30581665039062,78.59468555265086,77.59475430244073,78.10582700973588,196795900,0.004179441857935062
2009-09-16,79.49092864990234,79.50573997800288,78.31323310565827,78.58728505818155,206406300,0.015134405721133781
2009-09-17,79.37238311767578,80.03899993285032,78.93537285888587,79.37978595267526,229170900,-0.0014913089360003573
2009-09-18,79.42301940917969,79.75047744932367,79.15510022686878,79.74303367261004,153799100,0.0006379585633562446
2009-09-21,79.22208404541016,79.63140663104419,78.6341562266827,78.80532336035623,151892000,-0.0025299386155835935
2009-09-22,79.68348693847656,79.90675479431277,79.33370328070397,79.69093071445442,143126700,0.005824170098856829
2009-09-23,79.0211410522461,80.3979444987501,78.87973768363166,79.8695499080567,225947400,-0.008312210116280028
